Model,Val MAE,Test MAE,Test RMSE,Test NASA Score
Linear Regression,12.415153982341797,14.735334144968073,18.0637996340232,530.8307975644394
Ridge,14.538504647059135,16.14039678854615,19.62315156107901,678.0029391635779
Random Forest,9.594117764920352,10.839288309030744,14.394349303148475,317.88920747862636
Gradient Boosting,9.073088191557956,10.381807075444117,14.314107097805246,308.55490832333595
